Year,SOFTWAREDEVELOPERS_APPLICATIONS,COMPUTER_SYSTEMS_ANALYST,COMPUTER_PROGRAMMERS,COMPUTER_OCCUPATIONS_ALL_OTHER,SOFTWARE_DEVELOPERS_SYSTEMSSOFTWARE,MANAGEMENT_ANALYSTS,MATERIALS_SCIENTISTS,FINANCIAL_ANALYSTS,WEB_DEVELOPERS,OPERATIONS_RESEARCH_ANALYSTS,ACCOUNTANTS_AND_AUDITORS,PHYSICAL_THERAPISTS
2016,121239,115590,81822,53880,21849,15010,817,9605,4784,8009,11204,3278
2015,100544,117189,90150,54675,17507,13107,810,10004,5316,6663,10910,3995
2014,77873,92980,72353,39571,15724,11653,744,9314,4003,4833,9486,3269
2013,57120,84539,57738,29744,13730,9836,682,8157,3789,4990,7691,2788
